Date,Average
04/15/2013,रू १५.००
04/16/2013,रू १७.००
04/17/2013,रू १८.००
04/18/2013,रू १९.००
04/21/2013,रू १९.००
04/22/2013,रू १९.००
04/23/2013,रू १९.००
04/25/2013,रू १८.००
04/26/2013,रू १९.००
04/28/2013,रू १८.००
04/29/2013,रू १८.००
04/30/2013,रू १८.००
05/02/2013,रू १९.००
05/03/2013,रू १९.००
05/05/2013,रू १९.००
05/06/2013,रू १९.००
05/07/2013,रू १९.००
05/08/2013,रू १८.००
05/09/2013,रू १९.००
05/10/2013,रू १८.००
05/12/2013,रू १८.००
05/13/2013,रू १९.००
05/14/2013,रू १९.००
05/15/2013,रू १९.००
05/16/2013,रू १९.००
05/17/2013,रू १९.००
05/19/2013,रू १९.००
05/20/2013,रू १९.००
05/21/2013,रू १९.००
05/22/2013,रू १९.००
05/23/2013,रू १९.००
05/24/2013,रू १९.००
05/26/2013,रू २०.००
05/27/2013,रू १९.००
05/28/2013,रू १९.००
05/30/2013,रू १८.००
05/31/2013,रू १९.००
06/02/2013,रू १९.००
06/03/2013,रू १८.००
06/04/2013,रू १९.००
06/05/2013,रू १९.००
06/06/2013,रू १८.००
06/09/2013,रू २०.००
06/10/2013,रू २०.००
06/11/2013,रू २०.००
06/12/2013,रू २०.००
06/13/2013,रू २०.००
06/14/2013,रू २०.००
06/16/2013,रू २१.००
06/17/2013,रू २१.००
06/18/2013,रू २०.००
06/19/2013,रू २१.००
06/20/2013,रू २१.००
06/21/2013,रू २२.००
06/25/2013,रू २४.००
06/26/2013,रू २३.००
06/27/2013,रू २३.००
06/28/2013,रू २४.००
06/30/2013,रू २४.००
07/01/2013,रू २३.००
07/02/2013,रू २४.००
07/03/2013,रू २३.००
07/04/2013,रू २४.००
07/05/2013,रू २३.००
07/09/2013,रू २४.००
07/10/2013,रू २४.००
07/11/2013,रू २४.००
07/12/2013,रू २४.००
07/14/2013,रू २४.००
07/15/2013,रू २४.००
07/16/2013,रू २४.००
07/17/2013,रू २४.००
07/18/2013,रू २४.००
07/19/2013,रू २४.००
07/21/2013,रू २५.००
07/22/2013,रू २४.००
07/23/2013,रू २४.००
07/24/2013,रू २४.००
07/25/2013,रू २४.००
07/26/2013,रू २४.००
07/28/2013,रू २४.००
07/29/2013,रू २४.००
07/30/2013,रू २४.००
07/31/2013,रू २४.००
08/01/2013,रू २४.००
08/02/2013,रू २४.००
08/04/2013,रू २८.००
08/05/2013,रू २७.००
08/06/2013,रू २७.००
08/07/2013,रू २७.००
08/08/2013,रू २६.००
08/12/2013,रू २६.००
08/13/2013,रू २८.००
08/14/2013,रू २८.००
08/15/2013,रू २८.००
08/16/2013,रू २९.००
08/18/2013,रू ३०.००
08/19/2013,रू ३०.००
08/20/2013,रू ३०.००
08/23/2013,रू ३१.००
08/25/2013,रू ३१.००
08/26/2013,रू ३१.००
08/27/2013,रू ३१.००
08/29/2013,रू ३१.००
08/30/2013,रू ३१.००
09/01/2013,रू ३२.००
09/02/2013,रू ३२.००
09/03/2013,रू ३१.००
09/04/2013,रू ३२.००
09/05/2013,रू ३२.००
09/06/2013,रू ३३.००
09/08/2013,रू ३२.००
09/09/2013,रू ३२.००
09/10/2013,रू ३२.००
09/11/2013,रू ३२.००
09/12/2013,रू ३१.००
09/13/2013,रू ३१.००
09/15/2013,रू ३२.००
09/16/2013,रू ३२.००
09/17/2013,रू ३२.००
09/19/2013,रू ३२.००
09/20/2013,रू ३१.००
09/22/2013,रू ३२.००
09/23/2013,रू ३२.००
09/24/2013,रू ३१.००
09/25/2013,रू ३१.००
09/26/2013,रू २६.००
09/27/2013,रू २६.००
09/29/2013,रू २५.००
09/30/2013,रू २५.००
10/01/2013,रू २५.००
10/02/2013,रू २६.००
10/03/2013,रू २६.००
10/04/2013,रू २७.००
10/06/2013,रू २७.००
10/07/2013,रू २७.००
10/08/2013,रू २९.००
10/09/2013,रू ३१.००
10/10/2013,रू ३१.००
10/11/2013,रू ३१.००
10/12/2013,रू ३१.००
10/13/2013,रू ३१.००
10/14/2013,रू ३१.००
10/15/2013,रू ३१.००
10/16/2013,रू ३१.००
10/17/2013,रू ३१.००
10/20/2013,रू ४६.००
10/21/2013,रू ४६.००
10/22/2013,रू ४५.००
10/23/2013,रू ४९.००
10/24/2013,रू ५३.००
10/25/2013,रू ५४.००
10/27/2013,रू ५४.००
10/28/2013,रू ५१.००
10/29/2013,रू ४८.००
10/30/2013,रू ४३.००
10/31/2013,रू ४३.००
11/01/2013,रू ३७.००
11/03/2013,रू ४१.००
11/04/2013,रू ४३.००
11/05/2013,रू ४३.००
11/06/2013,रू ४३.००
11/07/2013,रू ४३.००
11/10/2013,रू ४१.००
11/11/2013,रू ३६.००
11/12/2013,रू ३६.००
11/13/2013,रू ३७.००
11/14/2013,रू ४२.००
11/15/2013,रू ४२.००
11/16/2013,रू ४२.००
11/17/2013,रू ४२.००
11/18/2013,रू ४२.००
11/20/2013,रू ४०.००
11/21/2013,रू ४१.००
11/22/2013,रू ४१.००
11/24/2013,रू ३८.००
11/25/2013,रू ३७.००
11/26/2013,रू ३७.००
11/27/2013,रू ३५.००
11/28/2013,रू ३४.००
11/29/2013,रू ३३.००
12/01/2013,रू ३१.००
12/02/2013,रू ३१.००
12/03/2013,रू ३१.००
12/04/2013,रू ३१.००
12/05/2013,रू ३१.००
12/06/2013,रू ३१.००
12/08/2013,रू ३३.००
12/09/2013,रू ३१.००
12/10/2013,रू ३१.००
12/11/2013,रू ३२.००
12/12/2013,रू ३१.००
12/13/2013,रू ३१.००
12/15/2013,रू ३१.००
12/16/2013,रू ३१.००
12/18/2013,रू २९.००
12/19/2013,रू २९.००
12/20/2013,रू २९.००
12/22/2013,रू ३१.००
12/23/2013,रू २९.००
12/24/2013,रू ३१.००
12/26/2013,रू ३१.००
12/27/2013,रू ३३.००
12/29/2013,रू ३२.००
12/31/2013,रू ३१.००
01/01/2014,रू २६.००
01/02/2014,रू २६.००
01/03/2014,रू २६.००
01/05/2014,रू २६.००
