Date,Average
2013-04-15,15.0
2013-04-16,17.0
2013-04-17,18.0
2013-04-18,19.0
2013-04-19,15.287627598785798
2013-04-20,15.287627598785798
2013-04-21,19.0
2013-04-22,19.0
2013-04-23,19.0
2013-04-24,15.648513734185071
2013-04-25,18.0
2013-04-26,19.0
2013-04-27,15.835410847122825
2013-04-28,18.0
2013-04-29,18.0
2013-04-30,18.0
2013-05-01,16.043591269414026
2013-05-02,19.0
2013-05-03,19.0
2013-05-04,16.23734652507693
2013-05-05,19.0
2013-05-06,19.0
2013-05-07,19.0
2013-05-08,18.0
2013-05-09,19.0
2013-05-10,18.0
2013-05-11,16.677224526091557
2013-05-12,18.0
2013-05-13,19.0
2013-05-14,19.0
2013-05-15,19.0
2013-05-16,19.0
2013-05-17,19.0
2013-05-18,17.071756744672925
2013-05-19,19.0
2013-05-20,19.0
2013-05-21,19.0
2013-05-22,19.0
2013-05-23,19.0
2013-05-24,19.0
2013-05-25,17.423069818947344
2013-05-26,20.0
2013-05-27,19.0
2013-05-28,19.0
2013-05-29,17.606408550996953
2013-05-30,18.0
2013-05-31,19.0
2013-06-01,17.664990385039804
2013-06-02,19.0
2013-06-03,18.0
2013-06-04,19.0
2013-06-05,19.0
2013-06-06,18.0
2013-06-07,17.80875734802818
2013-06-08,17.80875734802818
2013-06-09,20.0
2013-06-10,20.0
2013-06-11,20.0
2013-06-12,20.0
2013-06-13,20.0
2013-06-14,20.0
2013-06-15,18.21004170896092
2013-06-16,21.0
2013-06-17,21.0
2013-06-18,20.0
2013-06-19,21.0
2013-06-20,21.0
2013-06-21,22.0
2013-06-22,18.72147388099061
2013-06-23,18.72147388099061
2013-06-24,18.72147388099061
2013-06-25,24.0
2013-06-26,23.0
2013-06-27,23.0
2013-06-28,24.0
2013-06-29,19.333923861437835
2013-06-30,24.0
2013-07-01,23.0
2013-07-02,24.0
2013-07-03,23.0
2013-07-04,24.0
2013-07-05,23.0
2013-07-06,20.09189893741218
2013-07-07,20.09189893741218
2013-07-08,20.09189893741218
2013-07-09,24.0
2013-07-10,24.0
2013-07-11,24.0
2013-07-12,24.0
2013-07-13,20.59153077296502
2013-07-14,24.0
2013-07-15,24.0
2013-07-16,24.0
2013-07-17,24.0
2013-07-18,24.0
2013-07-19,24.0
2013-07-20,21.212531157336294
2013-07-21,25.0
2013-07-22,24.0
2013-07-23,24.0
2013-07-24,24.0
2013-07-25,24.0
2013-07-26,24.0
2013-07-27,21.749051406429093
2013-07-28,24.0
2013-07-29,24.0
2013-07-30,24.0
2013-07-31,24.0
2013-08-01,24.0
2013-08-02,24.0
2013-08-03,22.159159243319696
2013-08-04,28.0
2013-08-05,27.0
2013-08-06,27.0
2013-08-07,27.0
2013-08-08,26.0
2013-08-09,22.903775837682108
2013-08-10,22.903775837682108
2013-08-11,22.903775837682108
2013-08-12,26.0
2013-08-13,28.0
2013-08-14,28.0
2013-08-15,28.0
2013-08-16,29.0
2013-08-17,23.670612268921268
2013-08-18,30.0
2013-08-19,30.0
2013-08-20,30.0
2013-08-21,24.279344234961712
2013-08-22,24.279344234961712
2013-08-23,31.0
2013-08-24,24.51435450276148
2013-08-25,31.0
2013-08-26,31.0
2013-08-27,31.0
2013-08-28,25.13811463601888
2013-08-29,31.0
2013-08-30,31.0
2013-08-31,25.52228719159772
2013-09-01,32.0
2013-09-02,32.0
2013-09-03,31.0
2013-09-04,32.0
2013-09-05,32.0
2013-09-06,33.0
2013-09-07,26.70560366716904
2013-09-08,32.0
2013-09-09,32.0
2013-09-10,32.0
2013-09-11,32.0
2013-09-12,31.0
2013-09-13,31.0
2013-09-14,27.605708614652205
2013-09-15,32.0
2013-09-16,32.0
2013-09-17,32.0
2013-09-18,28.028331741565854
2013-09-19,32.0
2013-09-20,31.0
2013-09-21,28.25583755227225
2013-09-22,32.0
2013-09-23,32.0
2013-09-24,31.0
2013-09-25,31.0
2013-09-26,26.0
2013-09-27,26.0
2013-09-28,28.49066756437192
2013-09-29,25.0
2013-09-30,25.0
2013-10-01,25.0
2013-10-02,26.0
2013-10-03,26.0
2013-10-04,27.0
2013-10-05,27.98264903727312
2013-10-06,27.0
2013-10-07,27.0
2013-10-08,29.0
2013-10-09,31.0
2013-10-10,31.0
2013-10-11,31.0
2013-10-12,31.0
2013-10-13,31.0
2013-10-14,31.0
2013-10-15,31.0
2013-10-16,31.0
2013-10-17,31.0
2013-10-18,28.743320045173643
